epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2583.26,1.20184,0.96438,1.28982,0.78341,0.7094,0.67955,0.35817,1.4219,1.11322,1.43713,0.0003466,0.0003466,0.0003466
68,2623.23,1.20237,0.97154,1.27609,0.76795,0.73544,0.69098,0.34936,1.43802,1.1292,1.45008,0.0003367,0.0003367,0.0003367
69,2661.05,1.2217,0.9922,1.29551,0.80756,0.71368,0.69359,0.36507,1.44423,1.11617,1.44505,0.0003268,0.0003268,0.0003268
70,2698.95,1.21555,0.99469,1.28756,0.79665,0.7265,0.70808,0.36575,1.39659,1.09818,1.40909,0.0003169,0.0003169,0.0003169
71,2737.99,1.19524,0.9867,1.2815,0.76745,0.74786,0.70966,0.36043,1.39508,1.04841,1.42066,0.000307,0.000307,0.000307
72,2776.43,1.17117,0.93864,1.28218,0.80873,0.72277,0.71505,0.37385,1.40173,1.05144,1.42033,0.0002971,0.0002971,0.0002971
73,2813.6,1.1678,0.95994,1.28548,0.8255,0.71795,0.70624,0.36526,1.43226,1.07541,1.4334,0.0002872,0.0002872,0.0002872
74,2851.87,1.18713,0.96648,1.2793,0.83488,0.71304,0.69166,0.34497,1.46256,1.04929,1.44611,0.0002773,0.0002773,0.0002773
75,2890.22,1.16065,0.93372,1.26451,0.77583,0.76068,0.71017,0.35981,1.46485,1.02856,1.45735,0.0002674,0.0002674,0.0002674
76,2928.28,1.15715,0.92784,1.26894,0.82111,0.71368,0.70888,0.36081,1.47474,1.05039,1.46448,0.0002575,0.0002575,0.0002575
77,2966.69,1.19266,0.92621,1.28036,0.82893,0.7265,0.70574,0.36454,1.46067,1.04191,1.45938,0.0002476,0.0002476,0.0002476
78,3003.28,1.16853,0.93124,1.24982,0.77267,0.75214,0.70105,0.35911,1.42912,1.02668,1.44516,0.0002377,0.0002377,0.0002377
79,3042.05,1.13722,0.95543,1.26686,0.80708,0.70085,0.68678,0.35627,1.45218,1.06514,1.46099,0.0002278,0.0002278,0.0002278
80,3080.23,1.20108,0.94638,1.27396,0.81273,0.71368,0.70748,0.36313,1.42788,1.02664,1.43769,0.0002179,0.0002179,0.0002179
81,3116.58,1.1691,0.95199,1.27025,0.8233,0.69689,0.69993,0.36743,1.4368,1.06639,1.45315,0.000208,0.000208,0.000208
82,3155.83,1.12058,0.91542,1.23983,0.8292,0.70542,0.70658,0.36443,1.40619,1.01519,1.43768,0.0001981,0.0001981,0.0001981
83,3193.39,1.16508,0.90777,1.25709,0.83293,0.70513,0.70038,0.35837,1.42613,1.047,1.44849,0.0001882,0.0001882,0.0001882
84,3230.39,1.14731,0.94122,1.25644,0.82642,0.71368,0.70168,0.36625,1.39405,1.03076,1.42095,0.0001783,0.0001783,0.0001783
85,3267.6,1.11778,0.90711,1.2514,0.80661,0.7094,0.70001,0.36648,1.3921,1.07149,1.42989,0.0001684,0.0001684,0.0001684
